FY,Dept Level,Job Code,Job Title,Sum FTE,Biweekly Low Rate,Biweekly High Rate
2010,AAM,0922,Manager I,2.00,3282.00,4188.00
2010,AAM,0963,Dept Head III,1.00,5368.00,6851.00
2010,AAM,1450,Executive Secretary 1,1.00,2074.00,2521.00
2010,AAM,3302,Admission Attendant,4.00,1349.00,1634.00
2010,AAM,3518,"Assoc Musm Cnsrvt, AAM",1.00,2377.00,2890.00
2010,AAM,3524,Principal Museum Preparator,1.00,2104.00,2557.00
2010,AAM,3525,Chief Preparator,1.00,2314.00,2813.00
2010,AAM,3546,Curator 4,2.00,2918.00,3547.00
2010,AAM,3558,Senior Museum Registrar,1.00,2319.00,2819.00
2010,AAM,3633,Librarian 2 - Asian Arts,1.00,2621.00,3187.00
2010,AAM,7120,Bldgs & Grounds Maint Supt,1.00,4212.00,4212.00
2010,AAM,7334,Stationary Engineer,4.00,2893.00,2893.00
2010,AAM,7335,Senior Stationary Engineer,1.00,3279.00,3279.00
2010,AAM,7345,Electrician,1.00,2890.00,3513.00
2010,AAM,8226,Museum Guard,31.75,1765.00,2145.00
2010,AAM,8228,Museum Sec Supv,3.00,1965.00,2388.00
2010,AAM,TEMPM,Temporary Position,4.70,0.00,0.00
2010,ADM,0112,"BdComm Mbr, Grp3,M=$50/Mtg",0.00,50.00,50.00
2010,ADM,0922,Manager I,7.92,3282.00,4188.00
2010,ADM,0923,Manager II,1.50,3520.00,4492.00
2010,ADM,0931,Manager III,10.08,3799.00,4848.00
2010,ADM,0932,Manager IV,4.50,4075.00,5200.00
2010,ADM,0933,Manager V,9.00,4397.00,5612.00
2010,ADM,0941,Manager VI,3.00,4717.00,6019.00
2010,ADM,0952,Dep Dir II,3.00,3799.00,4848.00
2010,ADM,0953,Dep Dir III,6.00,4717.00,6019.00
2010,ADM,0961,Dept Head I,1.00,4075.00,5200.00
2010,ADM,0962,Dept Head II,2.00,5051.00,6446.00
2010,ADM,0965,Dept Head V,2.00,7668.00,9787.00
2010,ADM,1022,IS Administrator 2,1.00,2557.00,3108.00
2010,ADM,1023,IS Administrator 3,1.00,3108.00,3777.00
2010,ADM,1044,IS Engineer-Principal,2.00,4025.00,5062.00
2010,ADM,1051,IS Business Analyst-Assistant,1.00,2353.00,2960.00
2010,ADM,1052,IS Business Analyst,3.00,2722.00,3427.00
2010,ADM,1053,IS Business Analyst-Senior,1.08,3154.00,3966.00
2010,ADM,1054,IS Business Analyst-Principal,1.00,3652.00,4592.00
2010,ADM,1070,IS Project Director,0.08,4025.00,5062.00
2010,ADM,1204,Senior Personnel Clerk,1.00,1951.00,2371.00
2010,ADM,1220,Payroll Clerk,4.00,1936.00,2354.00
2010,ADM,1222,Sr Payroll & Personnel Clerk,5.00,2124.00,2582.00
2010,ADM,1224,Pr Payroll & Personnel Clerk,2.00,2342.00,2847.00
2010,ADM,1226,Chf Payroll & Personnel Clerk,1.00,2472.00,3005.00
2010,ADM,1232,Training Officer,4.00,2685.00,3263.00
2010,ADM,1237,Training Coordinator,1.00,3035.00,3689.00
2010,ADM,1241,Personnel Analyst,4.92,2193.00,3229.00
2010,ADM,1244,Senior Personnel Analyst,8.00,3108.00,3777.00
2010,ADM,1324,Customer Service Agent,74.15,2063.00,2507.00
2010,ADM,1326,Customer Service Agent Supv,6.23,2337.00,2841.00
2010,ADM,1365,Special Assistant 6,1.00,2063.00,2507.00
2010,ADM,1408,Principal Clerk,5.38,2074.00,2521.00
2010,ADM,1410,Chief Clerk,2.00,2377.00,2890.00
2010,ADM,1424,Clerk Typist,3.00,1577.00,1914.00
2010,ADM,1426,Senior Clerk Typist,5.00,1727.00,2099.00
2010,ADM,1434,Shelter Service Representative,6.00,1658.00,2115.00
2010,ADM,1435,Shelter Officer Supervisor,1.00,1818.00,2209.00
2010,ADM,1437,Shelter Office Asst Supv,1.00,1714.00,2084.00
2010,ADM,1446,Secretary 2,4.38,1904.00,2314.00
2010,ADM,1450,Executive Secretary 1,2.00,2074.00,2521.00
2010,ADM,1452,Executive Secretary 2,2.08,2377.00,2890.00
2010,ADM,1454,Executive Secretary 3,1.00,2582.00,3138.00
2010,ADM,1632,Senior Account Clerk,2.00,1881.00,2287.00
2010,ADM,1634,Principal Account Clerk,2.00,2124.00,2582.00
2010,ADM,1652,Accountant II,1.00,2365.00,2874.00
2010,ADM,1654,Accountant III,3.00,2862.00,3479.00
2010,ADM,1657,Accountant IV,1.00,3313.00,4028.00
2010,ADM,1708,Senior Telephone Operator,1.00,1658.00,2014.00
2010,ADM,1777,Media/Security Sys Spec,2.00,2827.00,3436.00
2010,ADM,1781,Media/Security Syst Supv,1.00,3248.00,3948.00
2010,ADM,1820,Junior Administrative Analyst,1.00,1862.00,2264.00
2010,ADM,1822,Administrative Analyst,5.00,2449.00,2977.00
2010,ADM,1823,Senior Administrative Analyst,11.38,2977.00,3618.00
2010,ADM,1824,Pr Administrative Analyst,7.00,3446.00,4188.00
2010,ADM,1840,Junior Management Assistant,1.00,1985.00,2412.00
2010,ADM,1842,Management Assistant,3.08,2252.00,2737.00
2010,ADM,1844,Senior Management Assistant,3.00,2582.00,3138.00
2010,ADM,1922,Senior Inventory Clerk,1.00,1558.00,1890.00
2010,ADM,1929,Parts Storekeeper,3.00,1862.00,2264.00
2010,ADM,1942,Asst Materials Coordinator,1.00,2700.00,3282.00
2010,ADM,1952,Purchaser,11.92,2507.00,3047.00
2010,ADM,1956,Senior Purchaser,12.00,3047.00,3703.00
2010,ADM,1958,Supervising Purchaser,4.00,3703.00,4500.00
2010,ADM,2292,Shelter Veterinarian,1.00,3470.00,4539.00
2010,ADM,2403,Forensic Laboratory Technician,2.00,2412.00,2933.00
2010,ADM,2456,Asst Forensic Toxicologist 1,5.00,3217.00,3910.00
2010,ADM,2458,Forensic Toxicologist,1.00,5679.00,6902.00
2010,ADM,2523,Forensic Autopsy Technician,2.00,2124.00,2582.00
2010,ADM,2577,Med Examiner's Investigator I,1.00,2258.00,2745.00
2010,ADM,2578,Med Examiner's Investigator II,9.00,2745.00,3337.00
2010,ADM,2579,Med Examiner's InvestigatorIII,2.00,3018.00,3668.00
2010,ADM,2598,Asst Med Examiner,4.00,7148.00,10059.00
2010,ADM,2708,Custodian,104.43,1584.00,1923.00
2010,ADM,2716,Custodial Assistant Supervisor,7.69,1740.00,2115.00
2010,ADM,2718,Custodial Supervisor,6.00,1918.00,2332.00
2010,ADM,2720,Janitorial Services Supervisor,1.00,2115.00,2571.00
2010,ADM,2978,Contract Compliance Officer 2,6.00,3788.00,4604.00
2010,ADM,2992,Contract Compliance Officer 1,8.77,2890.00,3513.00
2010,ADM,3370,Animal Care Attendant,11.00,1658.00,2115.00
2010,ADM,3371,Animal Care Supervisor,1.00,1844.00,2242.00
2010,ADM,3372,Animal Control Officer,10.00,1835.00,2342.00
2010,ADM,3374,Volunteer/Outreach Coord,1.00,2242.00,2726.00
2010,ADM,3375,Animal Health Technician,1.00,1470.00,1782.00
2010,ADM,3376,Animal Care Asst Supv,1.00,1740.00,2115.00
2010,ADM,3378,Field Svcs Asst Supv,1.00,1782.00,2166.00
2010,ADM,3549,Arts Program Assistant,1.00,1985.00,2412.00
2010,ADM,4140,Real Property Manager,4.00,3072.00,3734.00
2010,ADM,4142,Senior Real Property Officer,5.00,3557.00,4323.00
2010,ADM,4143,Principal Real Property Ofc,5.00,4117.00,5005.00
2010,ADM,5177,Safety Officer,1.00,3815.00,4637.00
2010,ADM,5366,Engineering Associate 2,1.00,2806.00,3410.00
2010,ADM,6130,Safety Analyst,1.00,3460.00,4206.00
2010,ADM,6138,Industrial Hygienist,1.00,3460.00,4206.00
2010,ADM,6139,Senior Industrial Hygienist,2.00,3881.00,4717.00
2010,ADM,6333,Senior Building Inspector,1.00,3689.00,4484.00
2010,ADM,7120,Bldgs & Grounds Maint Supt,2.00,4212.00,4212.00
2010,ADM,7203,Bldg & Grounds Maint Sprv,1.00,3600.00,3600.00
2010,ADM,7205,Chief Stationary Engineer,2.00,3671.00,3671.00
2010,ADM,7249,Automotive Mechanic Sprv 1,1.00,3883.00,3883.00
2010,ADM,7254,Automotive Machinist Sprv 1,4.00,3883.00,3883.00
2010,ADM,7258,Maintenance Machinist Sprv 1,1.00,3883.00,3883.00
2010,ADM,7277,City Shops Asst Superintendent,1.00,3513.00,4270.00
2010,ADM,7306,Automotive Body & Fender Wrk,3.00,2923.00,2923.00
2010,ADM,7309,Car and Auto Painter,3.00,2923.00,2923.00
2010,ADM,7313,Automotive Machinist,38.00,2954.00,2954.00
2010,ADM,7315,Auto Machinist Asst Sprv,3.00,3522.00,3522.00
2010,ADM,7332,Maintenance Machinist,5.00,2507.00,3047.00
2010,ADM,7333,Apprentice Stationary Engineer,2.00,1880.00,2748.00
2010,ADM,7334,Stationary Engineer,30.69,2893.00,2893.00
2010,ADM,7335,Senior Stationary Engineer,4.00,3279.00,3279.00
2010,ADM,7344,Carpenter,1.00,2571.00,3126.00
2010,ADM,7345,Electrician,1.00,2890.00,3513.00
2010,ADM,7346,Painter,1.00,2365.00,2874.00
2010,ADM,7347,Plumber,1.00,2989.00,3633.00
2010,ADM,7358,Pattern Maker,2.00,2700.00,3282.00
2010,ADM,7381,Automotive Mechanic,20.00,2923.00,2923.00
2010,ADM,7382,Automotive Mechanic Asst Sprv,1.00,3522.00,3522.00
2010,ADM,7389,Metalsmith,3.00,2199.00,2672.00
2010,ADM,7410,Automotive Service Worker,19.00,1914.00,2326.00
2010,ADM,7412,Auto Svc Wrk Asst Sprv,1.00,2120.00,2577.00
2010,ADM,7514,General Laborer,3.00,1876.00,2281.00
2010,ADM,8106,Legal Process Clerk,5.00,1646.00,1999.00
2010,ADM,8108,Senior Legal Process Clerk,6.00,1805.00,2194.00
2010,ADM,9774,Sr. Community Devl Spc 1,1.00,2685.00,3263.00
2010,ADM,9922,PS Aide to Prof,1.00,1405.00,1405.00
2010,ADM,AC43,Grants Associate,1.00,2194.00,2666.00
2010,ADM,TEMPM,Temporary Position,20.76,0.00,0.00
2010,ADP,0931,Manager III,1.00,3799.00,4848.00
2010,ADP,1023,IS Administrator 3,1.00,3108.00,3777.00
2010,ADP,1054,IS Business Analyst-Principal,1.00,3652.00,4592.00
